# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	435
#@/user_id	000656e0-2ae0-4d57-a511-870d9a26fbbd
a 	啊	c=8 d=2.51136 t=435
shi yi xia 	試一下	c=1 d=1 t=143
shi yi xiang 	是一項	c=1 d=0.818731 t=435
shou 	手	c=1 d=1 t=173
shou 	收	c=0 d=0.1 t=170
shou dong 	手動	c=1 d=1 t=426
shou tuo 	手拖	c=1 d=1 t=169
shu 	書	c=1 d=1 t=282
shu biao 	鼠標	c=3 d=2.52951 t=200
shu biao shou 	鼠標收	c=1 d=1 t=171
shu fu 	舒服	c=1 d=1 t=182
shu ru 	輸入	c=1 d=1 t=181
shu ru fa 	輸入法	c=1 d=1 t=343
shu xu guan 	鼠鬚管	c=3 d=1.75667 t=338
shuai 	帥	c=0 d=0.1 t=246
sou gou 	搜狗	c=1 d=1 t=342
su du 	速度	c=1 d=1.07711 t=130
ta 	他	c=2 d=1.44043 t=421
tai gao 	太高	c=1 d=1 t=176
tai wan ren 	臺灣人	c=1 d=0.852144 t=435
tiao 	調	c=1 d=1 t=427
tiao jiao 	調教	c=1 d=1 t=58
tu 	圖	c=2 d=1.82696 t=310
tui ding 	退訂	c=1 d=1 t=352
tui jian 	推薦	c=0 d=0.1 t=325
wan wan 	玩玩	c=1 d=1 t=145
wei shen me 	爲什麼	c=1 d=1 t=358
wen 	文	c=1 d=1 t=341
wen jian 	文件	c=2 d=1.36972 t=264
wo 	我	c=30 d=12.5762 t=435
wo cao 	臥操	c=1 d=1 t=115
wo cao 	臥槽	c=1 d=1 t=116
wo ke yi 	我可以	c=1 d=1 t=147
wu nai 	無奈	c=1 d=1 t=42
xi tong 	系統	c=1 d=1 t=369
xian shi 	顯示	c=0 d=0.1 t=379
xian shi gong ju 	顯示工具	c=1 d=1 t=380
xian zai 	現在	c=2 d=1.40252 t=401
xiang le 	想了	c=1 d=1 t=300
xiang le 	響了	c=1 d=1 t=299
xiang xiang 	想想	c=0 d=0.1 t=45
xiang xiang 	想象	c=0 d=0.1 t=47
xiang xiang zhong 	想想中	c=1 d=1 t=46
xiang xiang zhong 	想象中	c=1 d=1 t=48
xiao guo 	效果	c=1 d=1 t=271
xiao hui 	小慧	c=1 d=1 t=232
xie 	寫	c=2 d=0.856415 t=435
xie cheng 	寫成	c=1 d=1 t=336
xuan 	選	c=0 d=0.1 t=393
xuan yi ge 	選一個	c=1 d=1 t=394
yan se 	顏色	c=2 d=1.97531 t=419
yao 	要	c=4 d=1.58825 t=435
yao me 	要麼	c=0 d=0.1 t=260
yao pei zhi 	要配置	c=1 d=0.822835 t=435
ye 	也	c=3 d=2.13515 t=385
yi dian 	一點	c=2 d=1.47711 t=331
yi ge 	一個	c=2 d=1.41117 t=398
yi shen 	一身	c=0 d=0.1 t=265
yi xia 	一下	c=4 d=2.69903 t=428
yin wei 	因爲	c=3 d=1.97749 t=227
ying yu 	英語	c=2 d=1.63445 t=339
yo 	喲	c=1 d=1 t=191
yong 	用	c=7 d=3.91599 t=389
yong hu 	用戶	c=2 d=1.93707 t=306
you 	有	c=2 d=1.37026 t=422
you ren 	有人	c=2 d=1.97045 t=354
you tui jian 	有推薦	c=1 d=1 t=326
you yi ge 	有一個	c=1 d=1 t=234
yu yan 	語言	c=2 d=1.99501 t=371
yuan lai 	原來	c=2 d=1.73712 t=223
yuan xing 	原型	c=1 d=1 t=270
yue nan 	越南	c=1 d=1 t=344
zai 	在	c=2 d=0.951229 t=435
zai kan 	再看	c=1 d=1 t=278
zen me yang 	怎麼樣	c=1 d=0.88692 t=435
zhang dan 	賬單	c=0 d=0.1 t=214
zhang de 	長得	c=0 d=0.1 t=246
zhang de shuai 	長得帥	c=1 d=1 t=247
zhang hao 	帳號	c=0 d=0.1 t=289
zhang hao mi ma 	帳號密碼	c=1 d=1 t=290
zhang shang 	掌上	c=1 d=1 t=230
zhe ge 	這個	c=5 d=3.16277 t=387
zhe yang 	這樣	c=2 d=1.86936 t=404
zhe zhong 	這種	c=1 d=1 t=117
zhen de 	真的	c=0 d=0.1 t=126
zhen de me 	真的麼	c=1 d=1 t=127
zhi hu 	知乎	c=3 d=0.955997 t=435
zhi jie 	直接	c=0 d=0.0980199 t=435
zhi jie ei 	直接誒	c=1 d=0.985112 t=435
zhi qian 	之前	c=1 d=1 t=367
zhi yao 	只要	c=1 d=1 t=425
zhong 	中	c=2 d=2.16656 t=71
zhu shi 	註釋	c=1 d=1 t=332
zhuan xing 	轉型	c=1 d=1 t=251
zhuang ge 	裝個	c=1 d=1 t=144
zi 	子	c=0 d=0.0865022 t=435
zi fu chuan 	字符串	c=1 d=1 t=383
zi ji 	自己	c=2 d=1.99005 t=78
zi ku 	字庫	c=1 d=1 t=60
zi ti 	字體	c=1 d=1 t=91
zou le 	走了	c=1 d=1 t=351
zui zhong 	最終	c=2 d=1.97531 t=313
zuo 	做	c=2 d=1.47957 t=317
zuo hao 	做好	c=1 d=1 t=319
zuo jiu yao 	做就要	c=1 d=1 t=318
